"literacy" "soceco"
3.08955072125033 4.982824470512
9.30758675530451 6.60885402634144
7.32803742562681 2.1886709473011
8.94151126383058 6.52307799143827
6.18745334393437 4.1744065742952
0.734341023571459 2.77965983853134
6.94341262946834 5.15663210495918
6.65308804444891 4.68102722899018
6.79997767650127 8.5091242364728
4.89593401352279 2.39235651987796
7.53392830855526 8.71697866712343
5.61071889194445 6.71850665591812
4.21180653339704 9.43806686089052
5.10170837975413 5.07201074823541
4.0336708095853 6.29392049266083
